player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Domani Jackson,71370,CB,ALABAMA,2,2,,2.0,103,0,39.6,0,1,0,0,0,0.0
Widmyer Garcon,139266,LB,ED WATERS,1,2,,2.0,372,0,39.6,0,1,0,0,0,0.0
Tyrecus Davis,174814,CB,WYOMING,4,6,,1.5,351,0,39.6,0,4,0,0,0,0.0
Jordan Hall,174047,LB,MICH STATE,3,7,,7.0,223,0,39.6,0,1,0,0,0,0.0
Cam Calhoun,174037,CB,UTAH,6,8,,8.0,328,0,39.6,0,1,0,0,0,0.0
Nicolis Adu-Poku,197526,LB,ARKBC,1,4,,4.0,1515,0,39.6,0,1,0,0,0,0.0
DaJean Wells,141542,CB,E WASHGTON,4,6,,6.0,161,0,39.6,0,1,0,0,0,0.0
Kanye Clark,173969,CB,UCLA,1,1,,1.0,324,0,39.6,0,1,0,0,0,0.0
Dylan Tooker,173920,S,STF AUSTIN,7,16,,16.0,301,0,39.6,0,1,0,0,0,0.0
Kavon Miller,173905,S,PRINCETON,8,12,,6.0,272,0,39.6,0,2,0,0,0,0.0
Lance Byndon,173817,ED,MORGAN ST,3,3,,3.0,235,0,39.6,0,1,0,0,0,0.0
Zy Alexander,141889,CB,LSU,6,8,,2.7,211,0,39.6,0,3,0,0,0,0.0
Lake Ellis,142076,CB,UMASS,8,15,,15.0,216,0,39.6,0,1,0,0,0,0.0
Garrett Hawkins,173754,LB,AUSTINPEAY,5,6,,6.0,116,0,39.6,0,1,0,0,0,0.0
Kamron Norwood,190696,CB,TROY,4,13,,13.0,318,0,39.6,0,1,0,0,0,0.0
Braxton Myers,174966,CB,SO MISS,3,3,,3.0,296,0,39.6,0,1,0,0,0,0.0
JuJu Ganthier,142375,S,HAMPTON,3,4,,4.0,178,0,39.6,0,1,0,0,0,0.0
Jaelen Carson,142455,CB,DUQUESNE,3,3,,3.0,155,0,39.6,0,1,0,0,0,0.0
Donovan Stanley,142466,CB,DUQUESNE,1,1,,1.0,155,0,39.6,0,1,0,0,0,0.0
Shemar Paul,142484,CB,LIUSHAR,1,1,,1.0,1298,0,39.6,0,1,0,0,0,0.0
Ayinde Johnson,142505,CB,RHODE ISLD,3,3,,3.0,274,0,39.6,0,1,0,0,0,0.0
Nyair Domnie,173609,CB,DELAWARE,2,4,,4.0,151,0,39.6,0,1,0,0,0,0.0
Rolijah Hardy,188665,LB,INDIANA,2,3,,3.0,190,0,39.6,0,1,0,0,0,0.0
Amir Anderson,174455,S,DELWARE ST,3,7,,7.0,152,0,39.6,0,1,0,0,0,0.0
Justin Mays,197137,CB,FPU,1,3,,3.0,1527,0,39.6,0,1,0,0,0,0.0
Robert Lamar,173591,LB,DAVIDSON,1,3,,3.0,149,1,0.0,0,1,0,0,0,0.0
Jalin Justice,142689,LB,WAGNER,8,16,,16.0,338,0,39.6,0,1,0,0,0,0.0
